annotation.processing.processor.options	annotation.processing.processor.options
${build.dir}/generated	${build.dir}/generated
6	6
annotation.processing.enabled	annotation.processing.enabled
dist.javadoc.dir	dist.javadoc.dir
javadoc.encoding	javadoc.encoding
dist.archive.excludes	dist.archive.excludes
${source.encoding}	${source.encoding}
run.jvmargs	run.jvmargs
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
squareRoot	squareRoot
<simplejavacalculator.UI: void init()>	<simplejavacalculator.UI: void init()>
xpowerofy	xpowerofy
multiply	multiply
platform.active	platform.active
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>
x^y	x^y
**/*.java,**/*.form	**/*.java,**/*.form
oneDevidedBy	oneDevidedBy
7	7
annotation.processing.run.all.processors	annotation.processing.run.all.processors
*	*
tan	tan
mkdist.disabled	mkdist.disabled
Calculator PH	Calculator PH
=	=
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>
0	0
Consolas	Consolas
sin	sin
javac.target	javac.target
javadoc.noindex	javadoc.noindex
abs(x)	abs(x)
<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>
8	8
Error while parse to binary.	Error while parse to binary.
build.test.results.dir	build.test.results.dir
javac.test.processorpath	javac.test.processorpath
dist	dist
src.dir	src.dir
true	true
sqrt	sqrt
${javac.classpath}	${javac.classpath}
Tan	Tan
${src.dir}/META-INF	${src.dir}/META-INF
dist.dir	dist.dir
C	C
build.generated.sources.dir	build.generated.sources.dir
build.classes.excludes	build.classes.excludes
normal	normal
${build.dir}/test/classes	${build.dir}/test/classes
<simplejavacalculator.UI: java.lang.Double reader()>	<simplejavacalculator.UI: java.lang.Double reader()>
-	-
9	9
javadoc.author	javadoc.author
build.test.classes.dir	build.test.classes.dir
<simplejavacalculator.Calculator: java.lang.Double reset()>	<simplejavacalculator.Calculator: java.lang.Double reset()>
javac.classpath	javac.classpath
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>
javadoc.windowtitle	javadoc.windowtitle
Bin	Bin
excludes	excludes
build.sysclasspath	build.sysclasspath
javadoc.use	javadoc.use
${build.dir}/test/results	${build.dir}/test/results
run.classpath	run.classpath
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>
annotation.processing.source.output	annotation.processing.source.output
UTF-8	UTF-8
Cos	Cos
javadoc.additionalparam	javadoc.additionalparam
${run.classpath}	${run.classpath}
<simplejavacalculator.Calculator: void <init>()>	<simplejavacalculator.Calculator: void <init>()>
javac.processorpath	javac.processorpath
log10(x)	log10(x)
javadoc.splitindex	javadoc.splitindex
5	5
false	false
dist.jar	dist.jar
${javac.test.classpath}:${build.test.classes.dir}	${javac.test.classpath}:${build.test.classes.dir}
2	2
source.encoding	source.encoding
ignore	ignore
manifest.mf	manifest.mf
add	add
${javac.test.classpath}	${javac.test.classpath}
jar.compress	jar.compress
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>
<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>
test	test
src	src
javac.compilerargs	javac.compilerargs
javadoc.private	javadoc.private
+	+
<simplejavacalculator.SimpleJavaCalculator: void <init>()>	<simplejavacalculator.SimpleJavaCalculator: void <init>()>
/	/
simplejavacalculator.SimpleJavaCalculator	simplejavacalculator.SimpleJavaCalculator
