<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>
<simplejavacalculator.UI: void init()>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>
<simplejavacalculator.UI: void parsetoBinary()>	<simplejavacalculator.UI: void parsetoBinary()>
<simplejavacalculator.UI: java.lang.Double reader()>	<simplejavacalculator.UI: java.lang.Double reader()>
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>
<simplejavacalculator.UI: void writer(java.lang.Double)>	<simplejavacalculator.UI: void writer(java.lang.Double)>
<simplejavacalculator.UI: void <init>()>	<simplejavacalculator.UI: void <init>()>
<simplejavacalculator.Calculator: java.lang.Double reset()>	<simplejavacalculator.Calculator: java.lang.Double reset()>
<simplejavacalculator.Calculator: void <init>()>	<simplejavacalculator.Calculator: void <init>()>
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>
<simplejavacalculator.Calculator: java.lang.Double calculateEqual(java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateEqual(java.lang.Double)>
<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>
<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>
tan	tan
normal	normal
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>
rate	rate
squareRoot	squareRoot
xpowerofy	xpowerofy
abs	abs
add	add
oneDevidedBy	oneDevidedBy
multiply	multiply
log	log
sin	sin
divide	divide
square	square
minus	minus
cos	cos
Tan	Tan
8	8
-	-
Consolas	Consolas
Calculator PH	Calculator PH
log10(x)	log10(x)
2	2
*	*
3	3
icon/icon.png	icon/icon.png
"<<\\""\\"">>"	"<<\\""\\"">>"
0	0
=	=
C	C
Error while parse to binary.	Error while parse to binary.
abs(x)	abs(x)
x%	x%
/	/
Sin	Sin
<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>
Cos	Cos
+	+
x*x	x*x
sqrt	sqrt
1/x	1/x
4	4
x^y	x^y
Bin	Bin
5	5
9	9
6	6
1	1
7	7
<simplejavacalculator.SimpleJavaCalculator: void <init>()>	<simplejavacalculator.SimpleJavaCalculator: void <init>()>
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>
simplejavacalculator.SimpleJavaCalculator	simplejavacalculator.SimpleJavaCalculator
${run.test.classpath}	${run.test.classpath}
run.test.classpath	run.test.classpath
javac.compilerargs	javac.compilerargs
includes	includes
test	test
${build.generated.sources.dir}/ap-source-output	${build.generated.sources.dir}/ap-source-output
javadoc.windowtitle	javadoc.windowtitle
javadoc.use	javadoc.use
javadoc.splitindex	javadoc.splitindex
build.classes.excludes	build.classes.excludes
javac.processorpath	javac.processorpath
${javac.classpath}	${javac.classpath}
javadoc.author	javadoc.author
default_platform	default_platform
annotation.processing.source.output	annotation.processing.source.output
run.jvmargs	run.jvmargs
${javac.test.classpath}	${javac.test.classpath}
/home/kotname/Documents/Diplom/Code/doop/master/DiffAnalysis/Java/Simple-Java-Calculator_old/SimpleJavaCalculator.jar	/home/kotname/Documents/Diplom/Code/doop/master/DiffAnalysis/Java/Simple-Java-Calculator_old/SimpleJavaCalculator.jar
build	build
${build.dir}/classes	${build.dir}/classes
