<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>/java.lang.Enum.valueOf/0	1	<java.lang.Enum: java.lang.Enum valueOf(java.lang.Class,java.lang.String)>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>
<simplejavacalculator.UI: void <init>()>/java.lang.String.valueOf/0	112	<java.lang.String: java.lang.String valueOf(int)>	<simplejavacalculator.UI: void <init>()>
<simplejavacalculator.UI: void init()>/javax.swing.Box.createHorizontalStrut/0	91	<javax.swing.Box: java.awt.Component createHorizontalStrut(int)>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/javax.swing.Box.createHorizontalStrut/1	113	<javax.swing.Box: java.awt.Component createHorizontalStrut(int)>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/javax.swing.Box.createHorizontalStrut/2	138	<javax.swing.Box: java.awt.Component createHorizontalStrut(int)>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/javax.swing.Box.createHorizontalStrut/3	163	<javax.swing.Box: java.awt.Component createHorizontalStrut(int)>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/javax.swing.Box.createHorizontalStrut/4	180	<javax.swing.Box: java.awt.Component createHorizontalStrut(int)>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void parsetoBinary()>/java.lang.Long.parseLong/0	8	<java.lang.Long: long parseLong(java.lang.String)>	<simplejavacalculator.UI: void parsetoBinary()>
<simplejavacalculator.UI: void parsetoBinary()>/java.lang.Long.toBinaryString/0	9	<java.lang.Long: java.lang.String toBinaryString(long)>	<simplejavacalculator.UI: void parsetoBinary()>
<simplejavacalculator.UI: java.lang.Double reader()>/java.lang.Double.valueOf/0	4	<java.lang.Double: java.lang.Double valueOf(java.lang.String)>	<simplejavacalculator.UI: java.lang.Double reader()>
<simplejavacalculator.UI: void writer(java.lang.Double)>/java.lang.Double.isNaN/0	3	<java.lang.Double: boolean isNaN(double)>	<simplejavacalculator.UI: void writer(java.lang.Double)>
<simplejavacalculator.UI: void writer(java.lang.Double)>/java.lang.Double.toString/0	11	<java.lang.Double: java.lang.String toString(double)>	<simplejavacalculator.UI: void writer(java.lang.Double)>
<simplejavacalculator.BufferedImageCustom: java.awt.Image imageReturn()>/javax.imageio.ImageIO.read/0	5	<javax.imageio.ImageIO: java.awt.image.BufferedImage read(java.io.InputStream)>	<simplejavacalculator.BufferedImageCustom: java.awt.Image imageReturn()>
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/java.lang.Double.valueOf/0	18	<java.lang.Double: java.lang.Double valueOf(double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/java.lang.Double.valueOf/1	30	<java.lang.Double: java.lang.Double valueOf(double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/java.lang.Double.valueOf/2	40	<java.lang.Double: java.lang.Double valueOf(double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>
