	
static	static
public	public
main	main
java.lang.Object	java.lang.Object
<clinit>	<clinit>
2	2
1	1
<simplejavacalculator.UI: void <init>()>	<simplejavacalculator.UI: void <init>()>
3	3
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>
6	6
<simplejavacalculator.UI: void parsetoBinary()>	<simplejavacalculator.UI: void parsetoBinary()>
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>
<simplejavacalculator.UI: void init()>	<simplejavacalculator.UI: void init()>
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>
4	4
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>
<simplejavacalculator.UI: void writer(java.lang.Double)>	<simplejavacalculator.UI: void writer(java.lang.Double)>
5	5
9	9
0	0
8	8
simplejavacalculator.Calculator$MonoOperatorModes	simplejavacalculator.Calculator$MonoOperatorModes
simplejavacalculator.Calculator$BiOperatorModes	simplejavacalculator.Calculator$BiOperatorModes
7	7
simplejavacalculator.SimpleJavaCalculator	simplejavacalculator.SimpleJavaCalculator
<simplejavacalculator.Calculator: java.lang.Double reset()>	<simplejavacalculator.Calculator: java.lang.Double reset()>
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>
<simplejavacalculator.UI: java.lang.Double reader()>	<simplejavacalculator.UI: java.lang.Double reader()>
<simplejavacalculator.Calculator: java.lang.Double calculateEqual(java.lang.Double)>	<simplejavacalculator.Calculator: java.lang.Double calculateEqual(java.lang.Double)>
<simplejavacalculator.Calculator: void <init>()>	<simplejavacalculator.Calculator: void <init>()>
simplejavacalculator.UI	simplejavacalculator.UI
simplejavacalculator.Calculator	simplejavacalculator.Calculator
<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>
<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>
10	10
11	11
15	15
13	13
16	16
26	26
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes[] values()>
<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes[] values()>
21	21
14	14
<simplejavacalculator.SimpleJavaCalculator: void <init>()>	<simplejavacalculator.SimpleJavaCalculator: void <init>()>
19	19
17	17
32	32
22	22
37	37
27	27
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/this#_0	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/this#_0
29	29
<simplejavacalculator.UI: void <init>()>/i_$$A_1_$$A_1#_87	<simplejavacalculator.UI: void <init>()>/i_$$A_1_$$A_1#_90
simplejavacalculator.Calculator$MonoOperatorModes[]	simplejavacalculator.Calculator$MonoOperatorModes[]
simplejavacalculator.Calculator$BiOperatorModes[]	simplejavacalculator.Calculator$BiOperatorModes[]
44	44
includes	includes
test	test
excludes	excludes
38	38
48	48
18	18
42	42
36	36
<simplejavacalculator.UI: void <init>()>/this#_0	<simplejavacalculator.UI: void <init>()>/this#_0
<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/this#_0	<simplejavacalculator.Calculator: java.lang.Double calculateBi(simplejavacalculator.Calculator$BiOperatorModes,java.lang.Double)>/this#_0
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/i_$$A_1_$$A_1#_223	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/i_$$A_1_$$A_1#_227
<simplejavacalculator.UI: void init()>/i_$$A_1_$$A_4#_194	<simplejavacalculator.UI: void init()>/i_$$A_1_$$A_4#_198
<simplejavacalculator.UI: void init()>/i_$$A_1_$$A_1#_123	<simplejavacalculator.UI: void init()>/i_$$A_1_$$A_1#_127
64	82
90	108
99	90
70	74
79	78
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack9	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack9
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack6	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack6
<simplejavacalculator.UI: void parsetoBinary()>/$stack12	<simplejavacalculator.UI: void parsetoBinary()>/$stack12
<simplejavacalculator.UI: void parsetoBinary()>/$stack2	<simplejavacalculator.UI: void parsetoBinary()>/$stack2
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack8	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack8
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack7	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack7
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack6	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack6
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack5	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack5
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack4	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack4
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack3	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack3
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack2	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack2
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack1	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack1
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack0	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack0
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack12	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/$stack12
<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack13	<simplejavacalculator.Calculator: java.lang.Double calculateBiImpl()>/$stack13
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack5	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack5
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack4	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack4
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack3	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack3
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack2	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack2
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack1	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack1
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack0	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack0
<simplejavacalculator.UI: void <init>()>/$stack46	<simplejavacalculator.UI: void <init>()>/$stack46
<simplejavacalculator.UI: void <init>()>/$stack45	<simplejavacalculator.UI: void <init>()>/$stack45
<simplejavacalculator.UI: void <init>()>/$stack44	<simplejavacalculator.UI: void <init>()>/$stack44
<simplejavacalculator.UI: void <init>()>/$stack43	<simplejavacalculator.UI: void <init>()>/$stack43
<simplejavacalculator.UI: void <init>()>/$stack42	<simplejavacalculator.UI: void <init>()>/$stack42
<simplejavacalculator.UI: void <init>()>/$stack41	<simplejavacalculator.UI: void <init>()>/$stack41
<simplejavacalculator.UI: void <init>()>/$stack40	<simplejavacalculator.UI: void <init>()>/$stack40
<simplejavacalculator.UI: void <init>()>/$stack39	<simplejavacalculator.UI: void <init>()>/$stack39
<simplejavacalculator.UI: void <init>()>/$stack38	<simplejavacalculator.UI: void <init>()>/$stack38
<simplejavacalculator.UI: void <init>()>/$stack37	<simplejavacalculator.UI: void <init>()>/$stack37
<simplejavacalculator.UI: void <init>()>/$stack36	<simplejavacalculator.UI: void <init>()>/$stack36
<simplejavacalculator.UI: void <init>()>/$stack35	<simplejavacalculator.UI: void <init>()>/$stack35
<simplejavacalculator.UI: void <init>()>/$stack34	<simplejavacalculator.UI: void <init>()>/$stack34
<simplejavacalculator.UI: void <init>()>/$stack33	<simplejavacalculator.UI: void <init>()>/$stack33
<simplejavacalculator.UI: void <init>()>/$stack32	<simplejavacalculator.UI: void <init>()>/$stack32
<simplejavacalculator.UI: void <init>()>/$stack30	<simplejavacalculator.UI: void <init>()>/$stack30
<simplejavacalculator.UI: void <init>()>/$stack29	<simplejavacalculator.UI: void <init>()>/$stack29
<simplejavacalculator.UI: void <init>()>/$stack26	<simplejavacalculator.UI: void <init>()>/$stack26
<simplejavacalculator.UI: void <init>()>/$stack5	<simplejavacalculator.UI: void <init>()>/$stack5
<simplejavacalculator.UI: void <init>()>/$stack4	<simplejavacalculator.UI: void <init>()>/$stack4
<simplejavacalculator.UI: void <init>()>/$stack3	<simplejavacalculator.UI: void <init>()>/$stack3
<simplejavacalculator.UI: void <init>()>/$stack2	<simplejavacalculator.UI: void <init>()>/$stack2
68	68
53	53
23	23
java.lang.String[]	java.lang.String[]
62	62
34	34
12	12
*	*
src	src
56	56
31	31
123	123
75	75
69	69
66	66
61	61
43	43
39	39
24	24
57	57
52	52
25	25
152	152
100	100
73	73
72	72
63	63
46	46
28	28
<simplejavacalculator.UI: void init()>/this#_0	<simplejavacalculator.UI: void init()>/this#_0
<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>/$stack2	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>/$stack2
58	58
<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/num#_0	<simplejavacalculator.Calculator: java.lang.Double calculateMono(simplejavacalculator.Calculator$MonoOperatorModes,java.lang.Double)>/num#_0
<simplejavacalculator.Calculator: void <init>()>/this#_0	<simplejavacalculator.Calculator: void <init>()>/this#_0
<simplejavacalculator.UI: void <init>()>/$stack9	<simplejavacalculator.UI: void <init>()>/$stack49
<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/source#_220	<simplejavacalculator.UI: void actionPerformed(java.awt.event.ActionEvent)>/source#_224
<simplejavacalculator.UI: void <init>()>/$stack31	<simplejavacalculator.UI: void <init>()>/$stack18
<simplejavacalculator.UI: void <init>()>/$stack27	<simplejavacalculator.UI: void <init>()>/$stack47
<simplejavacalculator.UI: void <init>()>/$stack25	<simplejavacalculator.UI: void <init>()>/$stack28
<simplejavacalculator.UI: void <init>()>/$stack23	<simplejavacalculator.UI: void <init>()>/$stack24
<simplejavacalculator.UI: void <init>()>/$stack21	<simplejavacalculator.UI: void <init>()>/$stack22
<simplejavacalculator.UI: void <init>()>/$stack19	<simplejavacalculator.UI: void <init>()>/$stack16
<simplejavacalculator.UI: void <init>()>/$stack17	<simplejavacalculator.UI: void <init>()>/$stack14
<simplejavacalculator.UI: void <init>()>/$stack15	<simplejavacalculator.UI: void <init>()>/$stack12
<simplejavacalculator.UI: void <init>()>/$stack24	<simplejavacalculator.UI: void <init>()>/$stack27
<simplejavacalculator.UI: void <init>()>/$stack22	<simplejavacalculator.UI: void <init>()>/$stack25
<simplejavacalculator.UI: void <init>()>/$stack20	<simplejavacalculator.UI: void <init>()>/$stack23
<simplejavacalculator.UI: void <init>()>/$stack18	<simplejavacalculator.UI: void <init>()>/$stack21
<simplejavacalculator.UI: void <init>()>/$stack16	<simplejavacalculator.UI: void <init>()>/$stack19
<simplejavacalculator.UI: void <init>()>/$stack14	<simplejavacalculator.UI: void <init>()>/$stack17
<simplejavacalculator.UI: void <init>()>/$stack12	<simplejavacalculator.UI: void <init>()>/$stack15
<simplejavacalculator.UI: void <init>()>/$stack10	<simplejavacalculator.UI: void <init>()>/$stack13
<simplejavacalculator.UI: void <init>()>/$stack6	<simplejavacalculator.UI: void <init>()>/$stack9
<simplejavacalculator.UI: void <init>()>/$stack13	<simplejavacalculator.UI: void <init>()>/$stack8
<simplejavacalculator.UI: void <init>()>/$stack47	<simplejavacalculator.UI: void <init>()>/$stack50
<simplejavacalculator.UI: void <init>()>/$stack11	<simplejavacalculator.UI: void <init>()>/$stack48
47	20
81	159
74	134
159	117
